Library,language of resource,ISBN,Title,Title transliteration,Subtitle,Subtitle transliteration,Parallel title (dual language only),Parallel title transliteration,Parallel subtitle (dual language only),Parallel subtitle transliteration,Country of publication,State (US/UK/Canada & Australia only),Place of publication,Publisher's name,Year of publication,Year of copyright,Number of pages,Size (height),Illustrated,Series title,Series enumeration,Volume,Note,Sale code,Date of au:wction,HOL notes,Donor note,Barcode
ARTBL,English,9788181740441,"Goa, Cholamandal and South India Auction",,,,,,,,India,,Mumbai,Osian's - Connoisseurs of Art Private Limited,[2012?],© 2012,266 pages,32cm,True,Creative India,4,,,,20120621,,,308241108
ARTBL,English,9788181740489,Dare to care,,an initiative for the adolescent girl -- a charity fundraising gala event,,,,,,India,,Mumbai,Osian's - Connoisseurs of Art Private Limited,[2013?],© 2013,106 pages,32cm,True,,,,UNICEF in partnership with Delhi Daredevils. A musical performance by UNICEF Goodwill Ambassador Ms Priyanka Chopra. With entertainment programme by Wizcraft.,,20130416,,,308241109
ARTBL,English,9788181740472,Osian's forty masterpieces*//*Osian's 40 masterpieces,,Indian miniatures and modern art,,,,,,India,,Mumbai,Osian's - Connoiseurs of Art Pvt. Ltd.,[2013?],© 2013,114 pages,28cm,True,,,,,,20130413,,,308241110
ARTBL,English,,Treasures from the Hoi An hoard,,important Vietnamese ceramics from a late 15th / early 16th century cargo: Session I,,,,,,USA,,California,Butterfield's Auctioneers Corp.,[2000?],© 2000,334 pages,28cm,True,,,Volume O67B,Session I: Barbed Rim Dishes 1-47; Pouring Vessels 48-174; Bottles 175-350; Jars 351-580; Enameled Dishes 581-658,7130O,20001011,,,308241111
ARTBL,English,,Treasures from the Hoi An hoard,,important Vietnamese ceramics from a late 15th / early 16th century cargo: Session II,,,,,,USA,,California,Butterfield's Auctioneers Corp.,[2000?],© 2000,248 pages,28cm,True,,,Volume O67A,Session II: Shipware & Concretions 700-733; Dishes 734-1317; Bowls and Cups 1318-1700; Session III: Figural Ceramics 1701-1777; Covered Boxes 1773-2327,7130O,"20001012, 20001013",,,308241112
ARTBL,French,,Arts d'Orient archéologie et Islam,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1995?],,92 pages,27cm,True,,,,"Vendredi 24 mars - Salle 7; No 1 à 180: Une importante collection de tissus coptes et islamiques, principalement Coptes, Abbasisides, Fatimides et Mamelouks; fragments de Fostat; verres antiques, terres cuites, sculpture, bijoux, bronzes, art'Arménien et Chrétien d'Orient, art Egyptien; Lundi 27 mars - Salle 5, No 181 à 378: Art de l'Islam; céramiques, argenterie et métaux, Eléments dárchitecture; art Kadjar: un portrait de Nasreddin Shah, Imortant ensemble de Laques; verrerie de Bohême det de Beykoz; miniatures persanes et Indiennes: deux pages d'un Coran Andalou; textiles et tapis",,"19950324, 19950327",,,308241113
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1994?],,68 pages,27cm,True,,,,Céramiques Iraniennes et Turques; bronzes Seldjoukides;textiles; armes et armures; collection d'un ambassadeur: argenterie Russe et Ottomand; bijoux; argenterie de Van; art Arménien; métaux Islamiques; verrerie;boiseries Ottomanes; Collections E. et X.: miniatures et calligraphies; orientalisme,,19940302,,,308241114
ARTBL,French,,Arts de l'Islam,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1993?],,68 pages,27cm,True,,,,Céramiques du monde Musulman; céramiques Ottomanes provenant de l'ancienne collection Beyhum; verrerie Islamique et de Bohême; argenterie Ottomane; bijoux; émaux Ottomanes; art Arménien et Byzantin; metaux et armes; miniatures et manuscrits; bois et laques; important ensemble de boiseries Ottomanes provenant d'une demeure de Pérouse; Orientalisme; textiles et tapis,,19931216,,,308241115
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1992?],,51 pages,27cm,True,,,,Arts de l'Islam: céramiques Seldjoukides; monnaies en or Seldjoukindes et Ottomanes; orfèvrerie et métaux; laques et aquarelles Kadjar; miniatures Persanes et Indiennes; céramiques du 16e au 19e siècle; textiles; Orientalisme: peintures et photographies; archéologie: mosaïques Byzantines; glyptique; bronzes du Luristan; terres cuites Syriennes; art Egyptien; verrerie antique et Islamique,,19920619,,,308241116
ARTBL,French,,Arts d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1991?],,31 pages,27cm,True,,,,"Arts de l'Islam: céramiques et verrerie du 16e au 19e siècle; laques Kadjar et miniatures; métaux Ottomans et Iraniens; arts du Maroc: métaux - poteries - bijoux, ceintures brochées de Fès; textiles et tapis; Orientalism: collection d'aquarelles de Lea Lafugie; Mobilier; Archéologie: glyptique, verrerie - bronzes - terres cuites",,19911117,,,308241117
ARTBL,French,,Art d'Orient,,vente aux enchères publiques,,,,,,France,,Paris,Claude Boisgirard,[1990?],,57 pages,27cm,True,,,,"Archéologie: une exceptionnelle statue votive Sumérienne du milieu du 3e millénaire avant Jésus-Christ; art Persan: céramiques de l'ancienne collection Charles Kettaneh, laques et métaux du 18e-19e siècle; art Ottoman: céramiques d'Iznik, verrerie de Beykoz, argenterie et métaux, mobilier - textiles, tableaux - gravures, céramiques orientalistes; arts du Maghreb: collection T., important ensemble de poteries de Fès et de bijoux Citadins et Berbères du Maroc, tableaux - gravures; arts de l'Inde: rare chasse-mouches Moghol en jade, métaux - textiles, calligraphies et miniatures",,19900504,,,308241118
ARTBL,German,,Auktion 348,,antike Münzen,,,,,,Germany,,Munich,Gerhard Hirsch Nachfolger München,[2019?],,231 pages,27cm,True,,,,"Keltische Münzen (Kat.Nr. 1-15), griechische Münzen (Kat.Nr. 16-479), römische Münzen (Kat.Nr. 480-1019), byzantinische Münzen (Kat.Nr. 1020-1054), Kaiserreich Nicaea (Kat.Nr. 1055), Völkerwanderung (Kat.Nr. 1056-1058), byzantinische Bleisiegel (Kat.Nr. 1059-1061), Lots (Kat.Nr. 1062-1102)",348,20190508,,,308241119
ARTBL,German,,Auktion 349,,Münzen und Medaillen,,,,,,Germany,,Munich,Gerhard Hirsch Nachfolger München,[2019?],,225 pages,27cm,True,,,,"Münzen des MittelAlters (Kat.Nr. 2001-2025), Gepräge der deutschen und habsburgischen Lande (Kat.Nr. 2026-2425), neuere deutsche Prägungen (Kat.Nr. 2426-2545), deutsche Reichsmünzen seit 1871 (Kat.Nr. 2546-2707), Gepräge des Auslandes (Kat.Nr. 2708-2885), Medaillen des münchener Medailleurs Karl Goetz (Kat.Nr. 2886-2889), Münzwaagen (Kat.Nr. 2890-2893), Petschaften (Kat.Nr. 2894), Primitivgeld (Kat.Nr. 2895), Dokumente (Kat.Nr. 2896), Banknoten (Kat.Nr. 2897)",349,20190509,,,308241120
ARTBL,French,,Orientalism Arts d'Orient,,ventes aux enchères - expertises,,,,,,France,,Paris,Picard Audap Solanet Velliet / Piasa Paris,[2002?],,97 pages,27cm,True,,,,,,20021128,,,308241121
ARTBL,French,,Archéologie - orientalisme - arts d'Orient - Océanie - haute époque,,ventes aux enchères - expertises,,,,,,France,,Paris,Picard Audap Solanet Velliet / Piasa Paris,[2003?],,84 pages,27cm,True,,,,,,20030613,,,308241122
ARTBL,French,,Archéologie - art d'Orient,,ventes aux enchères - expertises,,,,,,France,,Paris,Picard Audap Solanet Velliet Teissèdre / Piasa Paris,[2005?],,102 pages,27cm,True,,,,,,20050413,,,308241123
ARTBL,French,,Art d'Asie - art d'Orient,,ventes aux enchères - expertises,,,,,,France,,Paris,Picard Audap Solanet Velliet Teissèdre / Piasa Paris,[2005?],,64 pages,27cm,True,,,,,,20051130,,,308241124
ARTBL,French,,Archéologie - arts d'Orient - haute époque,,ventes aux enchères - expertises,,,,,,France,,Paris,Piasa S.A.,[2006?],,82 pages,27cm,True,,,,,,20060602,,,308241125
ARTBL,German,,"Antike Textilien, Sammlerteppiche und amerikanische Quilts",,"frühchristliche, islamische und präkolumbische Kunst",,,,,,Germany,,Cologne,Rudolf Mangisch Galerie un Auktionshaus,[1991?],,140 pages,21cm,True,,,,,,"19910426, 19910427, 19910429","Sticker on cover, reading ""Ansichtsexemplar""",,308241126
ARTBL,German,,Sammlerteppiche,,"bedeutende Sammlungen aus China, Europa, der Türkei, Turkmenien, dem Kaukasus, Beloutschistan un Persien.",,,,,,Switzerland,,Zurich,Rudolf Mangisch Galerie un Auktionshaus,[1989?],,55 pages,21cm,True,,,,"The back cover is styled as a different publication with the title ""Paruiz Tanavoli: Skulpturen und Design"" with 12 pages of images and text, including a short biography of the artist. Dates for the exhibition: 19890318-19890415",,19890318,"Sticker on cover, reading ""Ansichtsexemplar""",,308241127
ARTBL,French,,Dessins de 1500 à 1900,,,,,,,,France,,Paris,Tajan S.A.,[2007?],,90 pages,27cm,True,,,,,,20071116,,,308241128
ARTBL,French,,Art d'Asie,,collection Janette Ostier et divers,,,,,,France,,Paris,Tajan S.A.,[2002?],,48 pages,27cm,True,,,,,,20021129,,,308241129
ARTBL,English,,Oriental rugs and carpets,,,,,,,,U.S.A.,,Massachusetts,"Robert W. Skinner, Inc.",[1987?],© 1987,approximately 128 pages,27cm,True,,,,,1180,19871206,,,308241130
ARTBL,English,,Oriental rugs and carpets,,,,,,,,U.S.A.,,Massachusetts,"Skinner, Inc.",[1991?],© 1991,approximately 100 pages,27cm,True,,,,,1386,19910601,,,308241131
ARTBL,French,,Arts d'Orient,,collection Jean Soustiel et à divers amateurs,,,,,,France,,Paris,François de Ricqlès,[2000?],,116 pages,27cm,True,,,,,,20001211,,,308241132
ARTBL,French,,"Archéologie, céramiques européennes",,à divers & collection Michel Bonnefond,,,,,,France,,Paris,Thierry de Maigret,[2023?],,98 pages,24cm,True,,,,,,20230412,,,308241133
ARTBL,French,,Archéologie - arts de l'Islam - icônes - céramiques européennes,,vente aux enchères publiques,,,,,,France,,Paris,Thierry de Maigret,[2020?],,69 pages,27cm,True,,,,,,20200610,,,308241135
ARTBL,Italian,,Ceramiche del novecento,,,,,,,,Italy,,Rome,Finarte Casa d'Aste S.p.A.,2001,© 2001,approximately 46 pages,24cm,True,,,,,1143,20010606,,,308241136
ARTBL,English,,CNG feature auction 129*//*Classical Numismatic Group feature auction 129,,to be conducted live online at the CNG Lancaster office,,,,,,USA,Pennsylvania,Pennysilvania,"Classical Numismatic Group, LLC",[2025?],,306 pages,24cm,True,,,,"Featuring: Celtic, Greek, and Roman coins from the Meander collection; ancient, world, and British coins from the G. Savonarola collection, beautiful didrachm of the Brettii from the Moretti, Jameson, Woodward, and Prowe collections; published euainetos dekadrachm of Syracuse from the Lockett and Pozzi collections; rare and pedigreed gold mnaïeia of Arsinoe II; an extremely rare cistophorus of Marcus Tullius Cicero; further selections from the Dr. Thomas E. Neniak collection of Alexandrian coinage; stunning ""Judaea capta"" sestertius from the Bromberg collection; a selection of solidi of Byzantie Empress Irene; further selections of world, US, and British coins from the Alexander Christopher and Drewry family collections; rare Lí Yuánhóng dollar with general wearing cap; gold écu of Henri IV from Saint-Lô; French Third Republic 100 francs essai Piedfort in gold; high grade oak tree schilling; a selection of US vintage ingots; George VI gold proof set",129,"20250513, 20250514",,,308241137
ARTBL,English / Chinese,,Contemporary Chinese oil paintings,,,,當代中國油畫,dang dai Zhongguo you hua,,,China,,Hong Kong,Wing Sing Fine Arts Auctioneers (Int'l) Ltd.,[1992?],,77 pages,29cm,True,,,,,,19921030,,,308241138
ARTBL,Chinese/English,,北京瀚海藝術品拍賣公司2002春季拍賣會,Beijing Han Hai yi shu pin pai mai gong si 2002 chun ji pai mai hui,中國書畫（近現代一）,Zhongguo shu hua (jin xian dai yi),Beijing Hanhai Spring Auctions,,Chinese modern and contemporary paintings and calligraphy (1),,China,,Beijing,Beijing Hanhai Art Auction Corp.,[2002?],,approximately 112 pages,29cm,True,,,,拍賣品第1-220號 - Lots 1-220,,20020629,,,308241139
ARTBL,Chinese/English,,金陵‘95中國書畫名家暨工藝美術大師精品拍賣會,Jin Ling '95 Zhongguo shu hua ming jia ji gong yi mei shu da shi jing pin pai mai hui,名家國畫，書法，油畫，工藝美術大師精品，碑帖,"ming jia guo hua, shu fa, you hua, gong yi mei shu da shi jin pin, bei tie","Jinling '95 auction of masterpieces of celebrated Chinese calligraphers, painters and craftsmen",,"Renowned traditional Chinese paintings, calligraphy, oil paintings, masterpieces of craftsmen, stele rubbings",,China,,Nanjing,"Nanjing Da Gong Wu Shi Co., Ltd.",[1995?],,approximately 160 pages,28cm,True,,,,,,19951002,,,308241140
ARTBL,Chinese/English,,上海新世紀第四十五届藝術品拍賣會,Shanghai Xin Shi Ji di si shi wu jie yi shu pin pai mai hui,,,Shanghai New Century the 45th art auction,,,,China,,Shanghai,Shanghai New Century Auction Co. Ltd.,[1997?],,approximately 170 pages,29cm,True,,,,,,"19971124, 19971125",,,308241141
ARTBL,English,,Fine Asian works of art,,volume O69,,,,,,USA,California,San Francisco,Butterfields Auctioneers Corp.,[2001?],© 2001,157 pages,28cm,True,,,,"Session I: Fine Japanese and Korean Works of Art 10am Lots 2001-2202; Session II: Fine Chinese, Indian, Himalayan and Southeast Asian Works of Art 1pm Lots 2205-2394",7247O,20010611,,,308241142
ARTBL,Chinese/English,,福建省首届中國書畫·古玩拍賣會,Fujian Sheng shou jie Zhongguo shu hua: gu wan pai mai hui,,,The first Fujian Province's auction of fine Chinese calligraphy & curio,,,,China,,Fuzhou,Fujian Province Auctioneer,[1995?],,116 pages,29cm,True,,,,,,19951030,,,308241143
ARTBL,English/Chinese,,Fine modern and contemporary Chinese paintings,,,,近代中國書畫拍賣會,jin dai Zhonguo hua shu pai mai hui,,,China,,Hong Kong,Treasure Auctioneer Limited,[2000?],,120 pages,27cm,True,,,,,,20000729,,,308241144
ARTBL,Chinese/English,,北京瀚海藝術品拍賣公司‘98春季拍賣會,Beijing Han Hai yi shu pin pai mai gong si '98 chun ji pai mai hui,中國書畫（近現代）,Zhongguo shu hua (jin xian dai),Beijing Hanhai '98 Spring Auctions,,modern and contemporary Chinese paintings,,China,,Beijing,Beijing Hanhai Art Auction Corp.,1998,,approximately 300 pages,29cm,True,,,,拍賣品第1-500C 號；Lots 1-500C,,"19980801,19980802,19980803",,,308241145
ARTBL,Chinese/English,,98秋季藝術品拍賣會,98 qiu ji yi shu pin pai mai hui,北京榮寶藝術品拍賣有限責任公司,Beijing Rong Bao yi shu pin pai mai you xian ze ren gong si,Paintings and calligraphy,,the autumn auction of Beijing Rongbao art,,China,,Beijing,"Rong Bao Arts Auctions Co., Ltd.",[1998?],,approximately 140 pages,29cm,True,,,,,,"19981030,19981031",,,308241146
